OBJECTID,PIDN,CITY_TEXT,NUMBER,STREET,GIS_Acreag,LANDVALUE,BLDGVALUE,LANDUSE_TE,YR_BUILT,score2
14582,"017-10-00-011.04",ELSMERE,"3858",TURKEYFOOT,".600",10000,0,VACANT LAND,"0000",3.25
14583,"017-10-00-011.05",ELSMERE,"3854",TURKEYFOOT,".590",10000,0,VACANT LAND,"0000",3.25
14584,"017-10-00-011.06",ELSMERE,"3850",TURKEYFOOT,".560",10000,0,VACANT LAND,"0000",3.1875
14585,"017-10-00-012.00",ELSMERE,"3882",TURKEYFOOT,".690",35000,175500,SINGLE FAMILY,"1966",3.25
14586,"017-10-00-013.00",ELSMERE,"3886",TURKEYFOOT,".860",35000,350000,SINGLE FAMILY,"1963",3.25
14587,"017-10-00-014.00",ELSMERE,"6800",INDUSTRIAL,"13.970",1048000,6902000,MFG/ASSEMBLY 100000+ SF,"0000",3.3125
14588,"017-10-00-014.01",ELSMERE,,FOUNDATION,"10.440",309000,0,VACANT LAND,"0000",2.3125
14589,"017-10-00-014.02",ELSMERE,"7975",FOUNDATION,"29.860",1495000,5250000,OFFICE BLDG 1 OR 2 STORY,"0000",3.3125
14590,"017-10-00-014.03",ELSMERE,"7875",FOUNDATION,"5.200",330000,520000,WAREHOUSE 1-20000 SQ FT,"0000",2.3125
14591,"017-10-00-014.04",ELSMERE,7765-7785,FOUNDATION,"2.070",134500,1799800,RETAIL OFFICE/WHSE,"0000",2.125
14592,"017-10-00-014.05",ELSMERE,"6840",POWER LINE,".990",65000,456300,WAREHOUSE 1-20000 SQ FT,"0000",2.25
14593,"017-10-00-014.08",ELSMERE,"6830",POWER LINE,"1.160",77000,490000,RETAIL OFFICE/WHSE,"0000",2.25
14594,"017-10-00-014.09",ELSMERE,"6796",POWER LINE,"4.080",204000,1446000,MFG/ASSEMBLY 20001-100000 SF,"0000",2.1875
14595,"017-10-00-014.10",ELSMERE,"6800",POWER LINE,"1.570",78500,420000,RETAIL OFFICE/WHSE,"0000",2.1875
14596,"017-10-00-014.11",ELSMERE,"6820",POWER LINE,"1.000",65000,434000,WAREHOUSE 1-20000 SQ FT,"0000",2.25
14597,"017-10-00-014.12",ELSMERE,"6810",POWER LINE,"1.180",77000,575000,RETAIL OFFICE/WHSE,"0000",2.1875
14598,"017-10-00-014.13",ELSMERE,"6801",POWER LINE,"3.620",235000,640000,MFG/ASSEMBLY 20001-100000 SF,"0000",3.25
14599,"017-10-00-014.16",ELSMERE,"7655",FOUNDATION,"3.810",191000,1040000,OFFICE BLDG 1 OR 2 STORY,"0000",2.125
14600,"017-10-00-014.17",ELSMERE,"6791",POWER LINE,"5.610",282000,350000,MFG/ASSEMBLY 20000 SF OR LESS,"0000",3.25
14601,"017-10-00-014.18",ELSMERE,"7808",FOUNDATION,"5.250",197500,0,VACANT LAND,"0000",2.3125
14602,"017-10-00-015.00",ELSMERE,"6666",INDUSTRIAL,"1.170",233500,980000,FULL SERVICE BANK,"0000",3.3125
14603,"017-10-00-015.01",ELSMERE,"3902",TURKEYFOOT,".500",20000,230000,SINGLE FAMILY,"1966",3.3125
14604,"017-10-00-016.00",INDEPENDENCE,"3950",TURKEYFOOT,"5.380",1078000,3795400,GROCERY STORE,"0000",3.3125
14605,"017-10-00-016.01",INDEPENDENCE,"3910",WYNNBROOK,"8.340",834000,4000000,40 OR MORE UNIT APARTMENTS,"0000",3.3125
14606,"017-10-00-017.00",INDEPENDENCE,,TURKEYFOOT,".550",1000,0,REMNANT LAND,"0000",3.3125
14607,"017-10-00-018.00",INDEPENDENCE,"3923",TURKEYFOOT,".130",5000,0,VACANT LAND,"0000",3.3125
14608,"017-10-00-019.00",INDEPENDENCE,"3927",TURKEYFOOT,".170",10000,0,NONBUILDABLE LOT/LAND,"0000",3.3125
14609,"017-10-00-020.00",INDEPENDENCE,"8025",PRODUCTION,"6.400",480000,3600000,MFG/ASSEMBLY 20001-100000 SF,"0000",3.3125
14610,"017-10-00-020.01",ELSMERE,"6850",INDUSTRIAL,"21.500",1289500,11500000,MFG/ASSEMBLY 100000+ SF,"0000",3.5
14611,"017-10-00-020.02",ELSMERE,7960-7930,FOUNDATION,"7.510",376000,131100,PAVED LOT,"0000",3.5
14612,"017-10-00-021.00",ELSMERE,"7945",FOUNDATION,"2.930",161500,940000,WHSE DISTRIBUTION,"0000",3.3125
14613,"017-10-00-022.00",ELSMERE,"7915",FOUNDATION,"4.430",300000,740000,MFG/ASSEMBLY 20001-100000 SF,"0000",3.25
14614,"017-10-00-023.01",ELSMERE,"7880",FOUNDATION,"1.940",124500,375000,OFFICE BLDG 1 OR 2 STORY,"0000",2.4375
14615,"017-10-00-023.02",ELSMERE,"7870",FOUNDATION,"1.330",89000,536000,RETAIL OFFICE/WHSE,"0000",2.4375
14616,"017-10-00-023.03",ELSMERE,7810-50,FOUNDATION,"4.940",321000,4980600,WAREHOUSE 20001 - 100000 SQ FT,"0000",2.4375
14617,"017-10-00-024.00",ELSMERE,"7841",FOUNDATION,"1.020",66000,305000,MFG/ASSEMBLY 20000 SF OR LESS,"0000",2.3125
14618,"017-10-00-025.00",ELSMERE,"3758",TURKEYFOOT,"19.640",982000,42018000,40 OR MORE UNIT APARTMENTS,"0000",2.125
14619,"017-10-00-025.02",ELSMERE,,TURKEYFOOT,"3.900",85800,0,VACANT LAND,"0000",2.125
14620,"017-10-00-026.00",ELSMERE,,TURKEYFOOT,"14.510",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.3125
14621,"017-10-00-027.00",ELSMERE,"7800",FOUNDATION,"2.730",177000,900000,TRUCKING TERMINAL,"0000",2.125
14622,"017-10-00-028.00",ELSMERE,"7782",FOUNDATION,"2.170",113500,15000,PAVED LOT,"0000",2.125
14623,"017-10-00-029.00",ELSMERE,"7705",FOUNDATION,"3.080",154000,1076000,TRUCKING TERMINAL,"0000",2.125
14624,"017-10-00-030.00",ELSMERE,"7725",FOUNDATION,"1.360",88000,845000,WAREHOUSE 1-20000 SQ FT,"0000",2.125
14625,"017-10-00-030.01",ELSMERE,"7745",FOUNDATION,"1.180",76500,400000,WHSE DISTRIBUTION,"0000",2.125
14626,"017-10-00-031.00",ELSMERE,"7813",FOUNDATION,"1.590",103500,671500,MFG/ASSEMBLY 20000 SF OR LESS,"0000",2.1875
14627,"017-10-01-200.00",ELSMERE,7808-201-214,FOUNDATION,"1.000",0,0,PROPERTY OWNERS ASSOCIATION,"0000",2.125
14628,"017-10-02-001.00",ELSMERE,"8",PLYMOUTH,".190",20000,130000,SINGLE FAMILY,"1966",2.125
14629,"017-10-02-002.00",ELSMERE,"3819",FEATHER,".150",25000,126400,SINGLE FAMILY,"1966",2.0625
14630,"017-10-02-003.00",ELSMERE,"3817",FEATHER,".150",25000,151700,SINGLE FAMILY,"1967",2.0625
14631,"017-10-02-004.00",ELSMERE,"3815",FEATHER,".150",25000,126400,SINGLE FAMILY,"1965",2.0625
14632,"017-10-02-005.00",ELSMERE,"3813",FEATHER,".150",25000,124900,SINGLE FAMILY,"1965",2.0625
14633,"017-10-02-006.00",ELSMERE,"3811",FEATHER,".150",25000,123000,SINGLE FAMILY,"1965",2.0625
14634,"017-10-02-007.00",ELSMERE,"3809",FEATHER,".150",25000,217800,SINGLE FAMILY,"1965",2.0625
14635,"017-10-02-008.00",ELSMERE,"3807",FEATHER,".150",25000,120900,SINGLE FAMILY,"1967",2.0625
14636,"017-10-02-009.00",ELSMERE,"3805",FEATHER,".150",25000,185000,SINGLE FAMILY,"1972",2.0625
14637,"017-10-02-010.00",ELSMERE,"3803",FEATHER,".150",25000,166300,SINGLE FAMILY,"1971",2.0625
14638,"017-10-02-011.00",ELSMERE,"3801",FEATHER,".150",25000,183000,SINGLE FAMILY,"1974",2.0625
14639,"017-10-02-012.00",ELSMERE,"3785",FEATHER,".150",25000,173300,SINGLE FAMILY,"1970",2.0625
14640,"017-10-02-013.00",ELSMERE,"3783",FEATHER,".160",25000,167400,SINGLE FAMILY,"1971",2.0625
14641,"017-10-02-014.00",ELSMERE,"3781",FEATHER,".150",25000,118000,SINGLE FAMILY,"1962",2.0625
14642,"017-10-02-015.00",ELSMERE,"3779",FEATHER,".150",25000,123800,SINGLE FAMILY,"1970",2.0625
14643,"017-10-02-016.00",ELSMERE,"3777",FEATHER,".180",25000,121300,SINGLE FAMILY,"1968",2.0625
14644,"017-10-02-017.00",ELSMERE,"3775",FEATHER,".160",25000,179900,SINGLE FAMILY,"1970",2.0625
14645,"017-10-02-018.00",ELSMERE,"3773",FEATHER,".160",25000,162000,SINGLE FAMILY,"1970",2.0625
14646,"017-10-02-019.00",ELSMERE,"3771",FEATHER,".240",25000,184000,SINGLE FAMILY,"1970",2.0625
14647,"017-10-02-020.00",ELSMERE,"1",FEATHER,".210",25000,132000,SINGLE FAMILY,"1965",2.0625
14648,"017-10-02-021.00",ELSMERE,"3768",AUTUMN,".170",25000,175000,SINGLE FAMILY,"1965",2.0625
14649,"017-10-02-022.00",ELSMERE,"3770",AUTUMN,".170",25000,150000,SINGLE FAMILY,"1965",2.0625
14650,"017-10-02-023.00",ELSMERE,"3772",AUTUMN,".170",25000,130000,SINGLE FAMILY,"1968",2.0625
14651,"017-10-02-024.00",ELSMERE,"3774",AUTUMN,".170",25000,130200,SINGLE FAMILY,"1965",2.0625
14652,"017-10-02-025.00",ELSMERE,"3776",AUTUMN,".170",25000,127200,SINGLE FAMILY,"1965",2.0625
14653,"017-10-02-026.00",ELSMERE,"3778",AUTUMN,".170",25000,124900,SINGLE FAMILY,"1965",2.0625
14654,"017-10-02-027.00",ELSMERE,"3780",AUTUMN,".180",25000,185000,SINGLE FAMILY,"1965",2.0625
14655,"017-10-02-028.00",ELSMERE,"3782",AUTUMN,".180",25000,126400,SINGLE FAMILY,"1965",2.0625
14656,"017-10-02-029.00",ELSMERE,"3784",AUTUMN,".180",25000,147400,SINGLE FAMILY,"1965",2.0625
14657,"017-10-02-030.00",ELSMERE,"3786",AUTUMN,".170",25000,156200,SINGLE FAMILY,"1965",2.0625
14658,"017-10-02-031.00",ELSMERE,"3788",AUTUMN,".170",25000,120500,SINGLE FAMILY,"1968",2.0625
14659,"017-10-02-032.00",ELSMERE,"3790",AUTUMN,".170",25000,147500,SINGLE FAMILY,"1965",2.0625
14660,"017-10-02-033.00",ELSMERE,"3792",AUTUMN,".170",25000,137400,SINGLE FAMILY,"1966",2.0625
14661,"017-10-02-034.00",ELSMERE,"3794",AUTUMN,".170",25000,144000,SINGLE FAMILY,"1965",2.0625
14662,"017-10-02-035.00",ELSMERE,"3796",AUTUMN,".180",25000,125900,SINGLE FAMILY,"1965",2.0625
14663,"017-10-02-036.00",ELSMERE,"3802",AUTUMN,".180",25000,175000,SINGLE FAMILY,"1965",2.0625
14664,"017-10-02-037.00",ELSMERE,"3804",AUTUMN,".180",25000,174900,SINGLE FAMILY,"1969",2.0625
14665,"017-10-02-038.00",ELSMERE,"2",PLYMOUTH,".210",25000,137600,SINGLE FAMILY,"1965",2.0625
14666,"017-10-02-039.00",ELSMERE,"3",PLYMOUTH,".210",25000,129200,SINGLE FAMILY,"1971",2.125
14667,"017-10-03-001.00",ELSMERE,"3829",AUTUMN,".270",25000,155800,SINGLE FAMILY,"1965",2.25
14668,"017-10-03-002.00",ELSMERE,"3827",AUTUMN,".210",25000,137600,SINGLE FAMILY,"1965",2.25
14669,"017-10-03-003.00",ELSMERE,"3814",AUTUMN,".170",25000,137600,SINGLE FAMILY,"1965",2.25
14670,"017-10-03-004.00",ELSMERE,"3823",AUTUMN,".210",25000,117500,SINGLE FAMILY,"1965",2.25
14671,"017-10-03-005.00",ELSMERE,"3821",AUTUMN,".210",25000,126400,SINGLE FAMILY,"1965",2.25
14672,"017-10-03-006.00",ELSMERE,"3819",AUTUMN,".220",25000,137600,SINGLE FAMILY,"1965",2.25
14673,"017-10-03-007.00",ELSMERE,"3817",AUTUMN,".210",25000,133400,SINGLE FAMILY,"1966",2.25
14674,"017-10-03-008.00",ELSMERE,"3815",AUTUMN,".210",25000,145000,SINGLE FAMILY,"1966",2.25
14675,"017-10-03-009.00",ELSMERE,"3813",AUTUMN,".210",25000,118500,SINGLE FAMILY,"1964",2.125
14676,"017-10-03-010.00",ELSMERE,"3811",AUTUMN,".200",25000,145800,SINGLE FAMILY,"1965",2.125
14677,"017-10-03-011.00",ELSMERE,"3809",AUTUMN,".200",25000,141300,SINGLE FAMILY,"1967",2.0625
14678,"017-10-03-012.00",ELSMERE,"3807",AUTUMN,".190",25000,159000,SINGLE FAMILY,"1965",2.0625
14679,"017-10-03-013.00",ELSMERE,"3805",AUTUMN,".170",25000,141300,SINGLE FAMILY,"1965",2.0625
14680,"017-10-03-014.00",ELSMERE,"3",HARVEST,".200",25000,124900,SINGLE FAMILY,"1965",2.0625
14681,"017-10-03-015.00",ELSMERE,"7",HARVEST,".200",25000,141300,SINGLE FAMILY,"1960",2.0625
14682,"017-10-03-016.00",ELSMERE,"3806",HARVEST,".170",25000,138000,SINGLE FAMILY,"1966",2.0625
14683,"017-10-03-017.00",ELSMERE,"3808",HARVEST,".170",25000,112500,SINGLE FAMILY,"1969",2.0625
14684,"017-10-03-018.00",ELSMERE,"3810",HARVEST,".170",25000,158500,SINGLE FAMILY,"1963",2.0625
14685,"017-10-03-019.00",ELSMERE,"3812",HARVEST,".150",25000,153000,SINGLE FAMILY,"1967",2.0625
14686,"017-10-03-020.00",ELSMERE,"3814",HARVEST,".220",25000,129900,SINGLE FAMILY,"1966",2.125
14687,"017-10-03-021.00",ELSMERE,"3816",HARVEST,".380",25000,139500,SINGLE FAMILY,"1966",2.1875
14688,"017-10-03-022.00",ELSMERE,"3815",HARVEST,".330",25000,225000,SINGLE FAMILY,"1965",2.1875
14689,"017-10-03-023.00",ELSMERE,"3813",HARVEST,".290",25000,130500,SINGLE FAMILY,"1967",2.0625
14690,"017-10-03-024.00",ELSMERE,"3811",HARVEST,".200",25000,152700,SINGLE FAMILY,"1961",2.0625
14691,"017-10-03-025.00",ELSMERE,"3809",HARVEST,".210",25000,141300,SINGLE FAMILY,"1969",2.0625
14692,"017-10-03-026.00",ELSMERE,"3807",HARVEST,".210",25000,153100,SINGLE FAMILY,"1964",2.0625
14693,"017-10-03-027.00",ELSMERE,"3805",HARVEST,".210",25000,171400,SINGLE FAMILY,"1965",2.0625
14694,"017-10-03-028.00",ELSMERE,"3803",HARVEST,".210",25000,195000,SINGLE FAMILY,"1965",2.0625
14695,"017-10-03-029.00",ELSMERE,"3801",HARVEST,".200",25000,157600,SINGLE FAMILY,"1965",2.0625
14696,"017-10-03-030.00",ELSMERE,"3793",HARVEST,".210",25000,244600,SINGLE FAMILY,"1990",2.0625
14697,"017-10-03-031.00",ELSMERE,"3791",HARVEST,".190",25000,145000,SINGLE FAMILY,"1965",2.0625
14698,"017-10-03-032.00",ELSMERE,"3789",HARVEST,".190",25000,170000,SINGLE FAMILY,"1964",2.0625
14699,"017-10-03-033.00",ELSMERE,"3787",HARVEST,".190",25000,128700,SINGLE FAMILY,"1965",2.0625
14700,"017-10-03-034.00",ELSMERE,"3785",HARVEST,".220",25000,153100,SINGLE FAMILY,"1965",2.0625
14701,"017-10-03-035.00",ELSMERE,"3783",HARVEST,".200",25000,153100,SINGLE FAMILY,"1965",2.0625
14702,"017-10-03-036.00",ELSMERE,"3781",HARVEST,".340",25000,129900,SINGLE FAMILY,"1965",2.0625
14703,"017-10-03-037.00",ELSMERE,"3779",HARVEST,".400",25000,132000,SINGLE FAMILY,"1965",2.0625
14704,"017-10-03-038.00",ELSMERE,"3778",HARVEST,".400",25000,175000,SINGLE FAMILY,"1965",2.0625
14705,"017-10-03-039.00",ELSMERE,"3780",HARVEST,".340",25000,150000,SINGLE FAMILY,"1965",2.0625
14706,"017-10-03-040.00",ELSMERE,"3782",HARVEST,".200",25000,175000,SINGLE FAMILY,"1966",2.0625
14707,"017-10-03-041.00",ELSMERE,"3784",HARVEST,".210",25000,147300,SINGLE FAMILY,"1967",2.0625
14708,"017-10-03-042.00",ELSMERE,"3786",HARVEST,".220",25000,133400,SINGLE FAMILY,"1966",2.0625
14709,"017-10-03-043.00",ELSMERE,"3788",HARVEST,".230",25000,142400,SINGLE FAMILY,"1965",2.0625
14710,"017-10-03-044.00",ELSMERE,"3790",HARVEST,".190",25000,153100,SINGLE FAMILY,"1964",2.0625
14711,"017-10-03-045.00",ELSMERE,"3792",HARVEST,".180",25000,166900,SINGLE FAMILY,"1964",2.0625
14712,"017-10-03-046.00",ELSMERE,"8",HARVEST,".210",25000,125900,SINGLE FAMILY,"1965",2.0625
14713,"017-10-03-047.00",ELSMERE,"4",HARVEST,".210",25000,197000,SINGLE FAMILY,"1965",2.0625
14714,"017-10-03-048.00",ELSMERE,"3791",AUTUMN,".170",25000,123000,SINGLE FAMILY,"1965",2.0625
14715,"017-10-03-049.00",ELSMERE,"3789",AUTUMN,".170",25000,161200,SINGLE FAMILY,"1965",2.0625
14716,"017-10-03-050.00",ELSMERE,"3787",AUTUMN,".170",25000,159700,SINGLE FAMILY,"1965",2.0625
14717,"017-10-03-051.00",ELSMERE,"3785",AUTUMN,".170",25000,137000,SINGLE FAMILY,"1965",2.0625
14718,"017-10-03-052.00",ELSMERE,"3783",AUTUMN,".160",25000,148800,SINGLE FAMILY,"1965",2.0625
14719,"017-10-03-053.00",ELSMERE,"3781",AUTUMN,".160",25000,117500,SINGLE FAMILY,"1965",2.0625
14720,"017-10-03-054.00",ELSMERE,"3779",AUTUMN,".170",25000,139900,SINGLE FAMILY,"1964",2.0625
14721,"017-10-03-055.00",ELSMERE,"3777",AUTUMN,".210",25000,127000,SINGLE FAMILY,"1965",2.0625
14722,"017-10-03-056.00",ELSMERE,"3775",AUTUMN,".210",25000,141300,SINGLE FAMILY,"1965",2.0625
14723,"017-10-03-057.00",ELSMERE,"3773",AUTUMN,".210",25000,147500,SINGLE FAMILY,"1965",2.0625
14724,"017-10-03-058.00",ELSMERE,"3771",AUTUMN,".210",25000,135900,SINGLE FAMILY,"1965",2.0625
14725,"017-10-03-059.00",ELSMERE,"3769",AUTUMN,".210",20000,205000,SINGLE FAMILY,"1964",2.0625
14726,"017-10-03-060.00",ELSMERE,"3767",AUTUMN,".190",25000,169900,SINGLE FAMILY,"1966",2.0625
14727,"017-10-03-061.00",ELSMERE,"3765",AUTUMN,".170",25000,153100,SINGLE FAMILY,"1964",2.0625
14728,"017-10-03-062.00",ELSMERE,"3",CIDER,".210",25000,145000,SINGLE FAMILY,"1959",2.0625
14729,"017-10-03-063.00",ELSMERE,"7",CIDER,".210",25000,126400,SINGLE FAMILY,"1965",2.0625
14730,"017-10-03-064.00",ELSMERE,"9",CIDER,".190",25000,113600,SINGLE FAMILY,"1965",2.0625
14731,"017-10-03-065.00",ELSMERE,"11",CIDER,".340",25000,135000,SINGLE FAMILY,"1964",2.0625
14732,"017-10-03-066.00",ELSMERE,"13",CIDER,".400",25000,125900,SINGLE FAMILY,"1964",2.0625
14733,"017-10-03-067.00",ELSMERE,"14",CIDER,".400",25000,194800,SINGLE FAMILY,"1965",2.0625
14734,"017-10-03-068.00",ELSMERE,"12",CIDER,".340",25000,153100,SINGLE FAMILY,"1965",2.0625
14735,"017-10-03-069.00",ELSMERE,"10",CIDER,".190",25000,126400,SINGLE FAMILY,"1965",2.0625
14736,"017-10-03-070.00",ELSMERE,"8",CIDER,".210",25000,137600,SINGLE FAMILY,"1964",2.0625
14737,"017-10-03-071.00",ELSMERE,"4",CIDER,".210",25000,125000,SINGLE FAMILY,"1965",2.0625
14738,"017-10-03-072.00",ELSMERE,"3757",AUTUMN,".210",25000,141300,SINGLE FAMILY,"1964",2.0625
14739,"017-10-03-073.00",ELSMERE,"3755",AUTUMN,".230",25000,120900,SINGLE FAMILY,"1965",2.0625
14740,"017-10-03-074.00",ELSMERE,"3",CRANBERRY,".300",25000,137600,SINGLE FAMILY,"1965",2.0625
14741,"017-10-03-075.00",ELSMERE,"7",CRANBERRY,".210",25000,168800,SINGLE FAMILY,"1965",2.0625
14742,"017-10-03-076.00",ELSMERE,"9",CRANBERRY,".210",25000,137600,SINGLE FAMILY,"1963",2.0625
14743,"017-10-03-077.00",ELSMERE,"11",CRANBERRY,".210",25000,189000,SINGLE FAMILY,"1969",2.0625
14744,"017-10-03-078.00",ELSMERE,"13",CRANBERRY,".210",25000,70000,SINGLE FAMILY,"1965",2.0625
14745,"017-10-03-079.00",ELSMERE,"15",CRANBERRY,".210",25000,153600,SINGLE FAMILY,"1965",2.0625
14746,"017-10-03-080.00",ELSMERE,"17",CRANBERRY,".180",25000,141300,SINGLE FAMILY,"1965",2.0625
14747,"017-10-03-081.00",ELSMERE,"19",CRANBERRY,".320",25000,190000,SINGLE FAMILY,"1965",2.0625
14748,"017-10-03-085.00",ELSMERE,"16",CRANBERRY,".270",25000,165000,SINGLE FAMILY,"1965",2.0625
14749,"017-10-03-086.00",ELSMERE,"14",CRANBERRY,".270",25000,137600,SINGLE FAMILY,"1965",2.0625
14750,"017-10-03-087.00",ELSMERE,"12",CRANBERRY,".250",25000,131900,SINGLE FAMILY,"1965",2.0625
14751,"017-10-03-088.00",ELSMERE,"10",CRANBERRY,".240",25000,153100,SINGLE FAMILY,"1965",2.0625
14752,"017-10-03-089.00",ELSMERE,"8",CRANBERRY,".230",25000,137600,SINGLE FAMILY,"1965",2.0625
14753,"017-10-03-090.00",ELSMERE,"6",CRANBERRY,".220",25000,143200,SINGLE FAMILY,"1965",2.0625
14754,"017-10-03-091.00",ELSMERE,"2",CRANBERRY,".240",25000,130000,SINGLE FAMILY,"1965",2.0625
14755,"017-10-03-092.00",ELSMERE,"3747",AUTUMN,".220",25000,146100,SINGLE FAMILY,"1965",2.0625
14756,"017-10-03-093.00",ELSMERE,"3816",AUTUMN,".210",25000,145000,SINGLE FAMILY,"1966",2.25
14757,"017-10-03-094.00",ELSMERE,"3818",AUTUMN,".220",25000,137600,SINGLE FAMILY,"1965",2.25
14758,"017-10-03-095.00",ELSMERE,"3820",AUTUMN,".220",25000,124900,SINGLE FAMILY,"1965",2.25
14759,"017-10-03-096.00",ELSMERE,"3822",AUTUMN,".220",25000,137600,SINGLE FAMILY,"1965",2.25
14760,"017-10-03-097.00",ELSMERE,"3824",AUTUMN,".220",25000,136000,SINGLE FAMILY,"1965",2.25
14761,"017-10-03-098.00",ELSMERE,"3826",AUTUMN,".220",25000,153100,SINGLE FAMILY,"1964",2.25
14762,"017-10-03-099.00",ELSMERE,"3828",AUTUMN,".220",25000,185000,SINGLE FAMILY,"1966",2.25
14763,"017-10-03-100.00",ELSMERE,"3830",AUTUMN,".220",25000,136800,SINGLE FAMILY,"1966",2.25
14764,"017-10-03-101.00",ELSMERE,"3832",AUTUMN,".390",25000,240000,SINGLE FAMILY,"1965",2.25
14765,"017-10-04-001.00",ERLANGER,"3014",SPRING VALLEY,".070",137000,0,VACANT LAND,"0000",2.0625
14766,"017-10-04-002.00",ERLANGER,"3016",SPRING VALLEY,".210",25000,250000,SINGLE FAMILY,"1979",2.0625
14767,"017-10-04-003.00",ERLANGER,"3100",SPRING VALLEY,".190",25000,161800,SINGLE FAMILY,"1975",2.0625
14768,"017-10-04-004.00",ERLANGER,"3102",SPRING VALLEY,".180",25000,179200,SINGLE FAMILY,"1981",2.0625
14769,"017-10-04-005.00",ERLANGER,"3104",SPRING VALLEY,".190",25000,204100,SINGLE FAMILY,"1976",2.0625
14770,"017-10-04-006.00",ERLANGER,"3106",SPRING VALLEY,".180",25000,161200,SINGLE FAMILY,"1977",2.0625
14771,"017-10-04-007.00",ERLANGER,"3108",SPRING VALLEY,".170",25000,179200,SINGLE FAMILY,"1977",2.0625
14772,"017-10-04-008.00",ERLANGER,"3110",SPRING VALLEY,".170",25000,161200,SINGLE FAMILY,"1977",2.0625
14773,"017-10-04-009.00",ERLANGER,"3112",SPRING VALLEY,".190",25000,157900,SINGLE FAMILY,"1977",2.0625
14774,"017-10-04-010.00",ERLANGER,"101",CARRIAGE HILL,".210",25000,190000,SINGLE FAMILY,"1979",2.0625
14775,"017-10-04-011.00",ERLANGER,3076-78,CANDLEWOOD,".870",25000,175000,TWO FAMILY,"1978",2.0625
14776,"017-10-04-012.00",ERLANGER,"105",CARRIAGE HILL,".180",25000,160000,SINGLE FAMILY,"1979",2.0625
14777,"017-10-04-013.00",ERLANGER,3080-82,CANDLEWOOD,".790",25000,175000,TWO FAMILY,"1989",2.0625
14778,"017-10-04-014.00",ERLANGER,3083-85,CANDLEWOOD,".260",25000,175000,TWO FAMILY,"1989",2.0625
14779,"017-10-04-015.00",ERLANGER,3084-86,CANDLEWOOD,".230",25000,175000,TWO FAMILY,"1989",2.0625
14780,"017-10-04-016.00",ERLANGER,3087-89,CANDLEWOOD,".240",25000,175000,TWO FAMILY,"1989",2.0625
14781,"017-10-04-017.00",ERLANGER,3088-90,CANDLEWOOD,".240",25000,175000,TWO FAMILY,"1989",2.0625
14782,"017-10-04-018.00",ERLANGER,3092-94,CANDLEWOOD,".940",25000,175000,TWO FAMILY,"1989",2.0625
14783,"017-10-04-019.00",ERLANGER,3096-98,CANDLEWOOD,"2.050",25000,175000,TWO FAMILY,"1989",2.0625
14784,"017-10-04-020.00",ERLANGER,3100-02,CANDLEWOOD,".300",25000,175000,TWO FAMILY,"1989",2.0625
14785,"017-10-04-021.00",ERLANGER,3104-06,CANDLEWOOD,".360",25000,175000,TWO FAMILY,"1989",2.0625
14786,"017-10-04-022.00",ERLANGER,"3105",CANDLEWOOD,".230",25000,175000,TWO FAMILY,"1989",2.0625
14787,"017-10-04-023.00",ERLANGER,3108-10,CANDLEWOOD,".270",25000,175000,TWO FAMILY,"1989",2.0625
14788,"017-10-04-024.00",ERLANGER,3109-11,CANDLEWOOD,".240",25000,175000,TWO FAMILY,"1989",2.0625
14789,"017-10-04-025.00",ERLANGER,3112-14,CANDLEWOOD,".290",25000,175000,TWO FAMILY,"1989",2.0625
14790,"017-10-04-026.00",ERLANGER,3113-15,CANDLEWOOD,".270",25000,175000,TWO FAMILY,"1989",2.0625
14791,"017-10-04-027.00",ERLANGER,"107",CARRIAGE HILL,".180",25000,142100,SINGLE FAMILY,"1985",2.0625
14792,"017-10-04-028.00",ERLANGER,"108",CARRIAGE HILL,".200",25000,179200,SINGLE FAMILY,"1990",2.0625
14793,"017-10-04-029.00",ERLANGER,"109",CARRIAGE HILL,".170",25000,170000,SINGLE FAMILY,"1992",2.0625
14794,"017-10-04-030.00",ERLANGER,"110",CARRIAGE HILL,".170",25000,175000,SINGLE FAMILY,"1987",2.0625
14795,"017-10-04-031.00",ERLANGER,"111",CARRIAGE HILL,".200",25000,170200,SINGLE FAMILY,"1991",2.0625
14796,"017-10-04-032.00",ERLANGER,"112",CARRIAGE HILL,".170",25000,137000,SINGLE FAMILY,"1987",2.0625
14797,"017-10-04-033.00",ERLANGER,"113",CARRIAGE HILL,".250",25000,137000,SINGLE FAMILY,"1987",2.0625
14798,"017-10-04-034.00",ERLANGER,"115",CARRIAGE HILL,".350",25000,165700,SINGLE FAMILY,"1991",2.0625
14799,"017-10-04-035.00",ERLANGER,"116",CARRIAGE HILL,".170",25000,170200,SINGLE FAMILY,"1987",2.0625
14800,"017-10-04-036.00",ERLANGER,"117",CARRIAGE HILL,".450",25000,185800,SINGLE FAMILY,"1987",2.0625
14801,"017-10-04-037.00",ERLANGER,"118",CARRIAGE HILL,".160",25000,152300,SINGLE FAMILY,"1990",2.0625
14802,"017-10-04-038.00",ERLANGER,3079-81,CANDLEWOOD,".550",25000,175000,TWO FAMILY,"1978",2.0625
14803,"017-10-04-039.00",ERLANGER,"103",CARRIAGE HILL,".180",25000,170200,SINGLE FAMILY,"1978",2.0625
